Date,Year,RANK,Country,Region,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
12/31/2022,2022,114,Cambodia,Southeastern Asia,4.64,1.019,0.732,0.505,0.74,0.166,0.068
12/31/2022,2022,102,Cameroon,Sub-Saharan Africa,5.048,0.968,0.672,0.317,0.397,0.152,0.074
12/31/2022,2022,15,Canada,North America,7.025,1.886,1.188,0.783,0.659,0.217,0.368
12/31/2022,2022,130,Chad,Sub-Saharan Africa,4.251,0.662,0.506,0.225,0.18,0.182,0.077
12/31/2022,2022,44,Chile,Latin America and Caribbean,6.172,1.651,1.08,0.748,0.46,0.124,0.069
12/31/2022,2022,72,China,Eastern Asia,5.585,1.508,0.958,0.705,0.656,0.099,0.142
12/31/2022,2022,66,Colombia,Latin America and Caribbean,5.781,1.452,0.929,0.72,0.545,0.087,0.077
12/31/2022,2022,116,Comoros,Sub-Saharan Africa,4.609,0.899,0.476,0.424,0.185,0.195,0.125
12/31/2022,2022,99,Congo,Sub-Saharan Africa,5.075,0.95,0.405,0.355,0.431,0.13,0.146
12/31/2022,2022,23,Costa Rica,Latin America and Caribbean,6.582,1.584,1.054,0.744,0.661,0.089,0.102
12/31/2022,2022,47,Croatia,Central and Eastern Europe,6.125,1.705,1.183,0.709,0.535,0.109,0
12/31/2022,2022,41,Cyprus,Western Europe,6.221,1.815,0.909,0.819,0.448,0.123,0.062
12/31/2022,2022,18,Czech Republic,Central and Eastern Europe,6.92,1.815,1.26,0.715,0.66,0.158,0.048
12/31/2022,2022,2,Denmark,Western Europe,7.636,1.953,1.243,0.777,0.719,0.188,0.532
12/31/2022,2022,69,Dominican Republic,Latin America and Caribbean,5.737,1.538,1.003,0.577,0.606,0.084,0.179
12/31/2022,2022,76,Ecuador,Latin America and Caribbean,5.533,1.352,0.879,0.708,0.565,0.08,0.083
12/31/2022,2022,129,Egypt,Middle East and Northern Africa,4.288,1.388,0.732,0.548,0.469,0.041,0.254
12/31/2022,2022,49,El Salvador,Latin America and Caribbean,6.12,1.265,0.768,0.607,0.666,0.089,0.212
12/31/2022,2022,36,Estonia,Central and Eastern Europe,6.341,1.793,1.232,0.728,0.689,0.123,0.333
12/31/2022,2022,125,Eswatini.,,4.396,1.274,0.786,0.197,0.259,0.038,0.154
12/31/2022,2022,131,Ethiopia,Sub-Saharan Africa,4.241,0.788,0.809,0.457,0.472,0.205,0.136
12/31/2022,2022,1,Finland,Western Europe,7.821,1.892,1.258,0.775,0.736,0.109,0.534
12/31/2022,2022,20,France,Western Europe,6.687,1.863,1.219,0.808,0.567,0.07,0.266
12/31/2022,2022,106,Gabon,Sub-Saharan Africa,4.958,1.459,0.738,0.396,0.343,0.032,0.099
12/31/2022,2022,93,Gambia,,5.164,0.785,0.621,0.369,0.367,0.388,0.103
12/31/2022,2022,105,Georgia,Central and Eastern Europe,4.973,1.467,0.612,0.595,0.508,0,0.208
12/31/2022,2022,14,Germany,Western Europe,7.034,1.924,1.088,0.776,0.585,0.163,0.358
12/31/2022,2022,111,Ghana,Sub-Saharan Africa,4.872,1.112,0.595,0.409,0.5,0.23,0.056
12/31/2022,2022,58,Greece,Western Europe,5.948,1.703,0.98,0.774,0.249,0.015,0.108
12/31/2022,2022,39,Guatemala,Latin America and Caribbean,6.262,1.274,0.831,0.522,0.662,0.112,0.115
12/31/2022,2022,109,Guinea,Sub-Saharan Africa,4.891,0.848,0.566,0.275,0.334,0.214,0.116
12/31/2022,2022,55,Honduras,Latin America and Caribbean,6.022,1.111,0.885,0.555,0.582,0.202,0.076
12/31/2022,2022,81,Hong Kong,Eastern Asia,5.425,1.957,0.954,0.942,0.4,0.147,0.383
12/31/2022,2022,51,Hungary,Central and Eastern Europe,6.086,1.748,1.233,0.668,0.485,0.078,0.064
12/31/2022,2022,3,Iceland,Western Europe,7.557,1.936,1.32,0.803,0.718,0.27,0.191
12/31/2022,2022,136,India,Southern Asia,3.777,1.167,0.376,0.471,0.647,0.198,0.123
12/31/2022,2022,87,Indonesia,Southeastern Asia,5.24,1.382,0.883,0.539,0.62,0.468,0.047
12/31/2022,2022,110,Iran,Middle East and Northern Africa,4.888,1.41,0.741,0.642,0.281,0.241,0.146
12/31/2022,2022,107,Iraq,Middle East and Northern Africa,4.941,1.289,0.682,0.554,0.328,0.147,0.046
12/31/2022,2022,13,Ireland,Western Europe,7.041,2.129,1.166,0.779,0.627,0.19,0.408
12/31/2022,2022,9,Israel,Middle East and Northern Africa,7.364,1.826,1.221,0.818,0.568,0.155,0.143
12/31/2022,2022,31,Italy,Western Europe,6.467,1.834,1.052,0.801,0.412,0.085,0.059
12/31/2022,2022,88,Ivory Coast,Sub-Saharan Africa,5.235,1.094,0.442,0.322,0.451,0.149,0.124
12/31/2022,2022,63,Jamaica,Latin America and Caribbean,5.85,1.296,1.045,0.646,0.567,0.08,0.053
12/31/2022,2022,54,Japan,Eastern Asia,6.039,1.835,1.089,0.866,0.537,0.007,0.218
12/31/2022,2022,134,Jordan,Middle East and Northern Africa,4.152,1.324,0.724,0.675,0.476,0.058,0.2
12/31/2022,2022,40,Kazakhstan,Central and Eastern Europe,6.234,1.668,1.22,0.611,0.584,0.134,0.157
12/31/2022,2022,119,Kenya,Sub-Saharan Africa,4.543,1.032,0.605,0.401,0.44,0.322,0.082
12/31/2022,2022,32,Kosovo,Central and Eastern Europe,6.455,1.362,0.949,0.569,0.599,0.309,0.035
12/31/2022,2022,50,Kuwait,Middle East and Northern Africa,6.106,1.904,0.983,0.747,0.617,0.087,0.147
12/31/2022,2022,64,Kyrgyzstan,Central and Eastern Europe,5.828,1.069,1.109,0.638,0.693,0.208,0.025
12/31/2022,2022,95,Laos,Southeastern Asia,5.14,1.239,0.654,0.479,0.679,0.197,0.184
12/31/2022,2022,42,Latvia,Central and Eastern Europe,6.18,1.732,1.221,0.637,0.502,0.075,0.09
12/31/2022,2022,145,Lebanon,Middle East and Northern Africa,2.955,1.392,0.498,0.631,0.103,0.082,0.034
12/31/2022,2022,141,Lesotho,Sub-Saharan Africa,3.512,0.839,0.848,0,0.419,0.076,0.018
12/31/2022,2022,97,Liberia,Sub-Saharan Africa,5.122,0.636,0.67,0.309,0.405,0.178,0.08
12/31/2022,2022,86,Libya,Middle East and Northern Africa,5.33,1.476,0.943,0.606,0.477,0.106,0.179
12/31/2022,2022,34,Lithuania,Central and Eastern Europe,6.446,1.804,1.204,0.659,0.496,0.053,0.077
12/31/2022,2022,6,Luxembourg,Western Europe,7.404,2.209,1.155,0.79,0.7,0.12,0.388
12/31/2022,2022,128,Madagascar,Sub-Saharan Africa,4.339,0.67,0.645,0.378,0.202,0.143,0.154
12/31/2022,2022,138,Malawi,Sub-Saharan Africa,3.75,0.648,0.279,0.388,0.477,0.14,0.157
12/31/2022,2022,70,Malaysia,Southeastern Asia,5.711,1.689,0.938,0.62,0.654,0.213,0.126
12/31/2022,2022,123,Mali,Sub-Saharan Africa,4.479,0.792,0.483,0.311,0.35,0.128,0.042
12/31/2022,2022,33,Malta,Western Europe,6.447,1.838,1.169,0.789,0.679,0.174,0.166
12/31/2022,2022,133,Mauritania,Sub-Saharan Africa,4.153,1.1,0.865,0.45,0.304,0.088,0.138
12/31/2022,2022,52,Mauritius,Sub-Saharan Africa,6.071,1.591,1.116,0.568,0.589,0.131,0.107
12/31/2022,2022,46,Mexico,Latin America and Caribbean,6.128,1.552,0.886,0.623,0.621,0.092,0.115
12/31/2022,2022,62,Moldova,Central and Eastern Europe,5.857,1.417,1.008,0.597,0.561,0.102,0.028
12/31/2022,2022,68,Mongolia,Eastern Asia,5.761,1.393,1.197,0.467,0.398,0.247,0.059
12/31/2022,2022,75,Montenegro,Central and Eastern Europe,5.547,1.573,1.023,0.659,0.46,0.135,0.077
12/31/2022,2022,100,Morocco,Middle East and Northern Africa,5.06,1.208,0.268,0.565,0.492,0.02,0.102
12/31/2022,2022,101,Mozambique,Sub-Saharan Africa,5.048,0.578,0.66,0.191,0.593,0.185,0.2
12/31/2022,2022,126,Myanmar,Southeastern Asia,4.394,1.038,0.829,0.491,0.513,0.452,0.194
12/31/2022,2022,124,Namibia,,4.459,1.292,0.877,0.354,0.384,0.067,0.071
12/31/2022,2022,84,Nepal,Southern Asia,5.377,0.984,0.784,0.499,0.519,0.237,0.13
12/31/2022,2022,5,Netherlands,Western Europe,7.415,1.945,1.206,0.787,0.651,0.271,0.419
12/31/2022,2022,10,New Zealand,Australia and New Zealand,7.2,1.852,1.235,0.752,0.68,0.245,0.483
12/31/2022,2022,45,Nicaragua,Latin America and Caribbean,6.165,1.105,1.029,0.617,0.617,0.168,0.212
12/31/2022,2022,104,Niger,Sub-Saharan Africa,5.003,0.57,0.56,0.326,0.571,0.165,0.145
12/31/2022,2022,118,Nigeria,Sub-Saharan Africa,4.552,1.079,0.732,0.3,0.444,0.175,0.038
12/31/2022,2022,79,North,,5.467,1.815,0.888,0.819,0.523,0.13,0.213
12/31/2022,2022,89,North,,5.199,1.505,0.863,0.637,0.488,0.215,0.031
12/31/2022,2022,8,Norway,Western Europe,7.365,1.997,1.239,0.786,0.728,0.217,0.474
12/31/2022,2022,121,Pakistan,Southern Asia,4.516,1.049,0.413,0.374,0.448,0.181,0.112
12/31/2022,2022,122,Palestinian Territories,Middle East and Northern Africa,4.483,1.148,0.957,0.521,0.336,0.073,0.079
12/31/2022,2022,37,Panama,Latin America and Caribbean,6.309,1.715,1.107,0.709,0.592,0.049,0.051
12/31/2022,2022,73,Paraguay,Latin America and Caribbean,5.578,1.409,1.13,0.624,0.629,0.171,0.059
12/31/2022,2022,74,Peru,Latin America and Caribbean,5.559,1.397,0.865,0.735,0.545,0.09,0.037
12/31/2022,2022,60,Philippines,Southeastern Asia,5.904,1.268,0.912,0.514,0.678,0.107,0.142
12/31/2022,2022,48,Poland,Central and Eastern Europe,6.123,1.758,1.174,0.712,0.523,0.124,0.14
12/31/2022,2022,56,Portugal,Western Europe,6.016,1.76,1.078,0.777,0.655,0.016,0.039
12/31/2022,2022,28,Romania,Central and Eastern Europe,6.477,1.719,1.006,0.655,0.605,0.039,0.006
12/31/2022,2022,80,Russia,Central and Eastern Europe,5.459,1.685,1.095,0.586,0.401,0.117,0.08
12/31/2022,2022,143,Rwanda,Sub-Saharan Africa,3.268,0.785,0.133,0.462,0.621,0.187,0.544
12/31/2022,2022,25,Saudi Arabia,Middle East and Northern Africa,6.523,1.87,1.092,0.577,0.651,0.078,0.18
12/31/2022,2022,103,Senegal,Sub-Saharan Africa,5.046,0.933,0.53,0.447,0.494,0.143,0.081
12/31/2022,2022,43,Serbia,Central and Eastern Europe,6.178,1.55,1.086,0.658,0.546,0.219,0.088
12/31/2022,2022,140,Sierra Leone,Sub-Saharan Africa,3.574,0.686,0.416,0.273,0.387,0.202,0.055
12/31/2022,2022,27,Singapore,Southeastern Asia,6.48,2.149,1.127,0.851,0.672,0.163,0.587
12/31/2022,2022,35,Slovakia,Central and Eastern Europe,6.391,1.736,1.232,0.707,0.479,0.118,0.025
12/31/2022,2022,22,Slovenia,Central and Eastern Europe,6.63,1.81,1.249,0.769,0.685,0.118,0.115
12/31/2022,2022,91,South Africa,Sub-Saharan Africa,5.194,1.425,1.088,0.361,0.442,0.089,0.046
12/31/2022,2022,59,South Korea,Eastern Asia,5.935,1.851,0.886,0.841,0.414,0.111,0.176
12/31/2022,2022,29,Spain,Western Europe,6.476,1.808,1.211,0.808,0.505,0.101,0.149
12/31/2022,2022,127,Sri Lanka,Southern Asia,4.362,1.415,0.934,0.66,0.529,0.15,0.079
12/31/2022,2022,7,Sweden,Western Europe,7.384,1.92,1.204,0.803,0.724,0.218,0.512
12/31/2022,2022,4,Switzerland,Western Europe,7.512,2.026,1.226,0.822,0.677,0.147,0.461
12/31/2022,2022,26,Taiwan,Eastern Asia,6.512,1.897,1.095,0.733,0.542,0.075,0.168
12/31/2022,2022,83,Tajikistan,Central and Eastern Europe,5.377,0.966,1.005,0.518,0.572,0.118,0.304
12/31/2022,2022,139,Tanzania,Sub-Saharan Africa,3.702,0.848,0.597,0.425,0.578,0.248,0.27
12/31/2022,2022,61,Thailand,Southeastern Asia,5.891,1.535,1.096,0.697,0.617,0.321,0.026
12/31/2022,2022,135,Togo,Sub-Saharan Africa,4.112,0.771,0.322,0.36,0.292,0.174,0.132
12/31/2022,2022,120,Tunisia,Middle East and Northern Africa,4.516,1.35,0.596,0.656,0.316,0.029,0.029
12/31/2022,2022,112,Turkey,Middle East and Northern Africa,4.744,1.707,0.865,0.702,0.209,0.087,0.115
12/31/2022,2022,78,Turkmenistan,Central and Eastern Europe,5.474,1.484,1.319,0.516,0.649,0.314,0.032
12/31/2022,2022,117,Uganda,Sub-Saharan Africa,4.603,0.777,0.875,0.418,0.402,0.222,0.066
12/31/2022,2022,98,Ukraine,Central and Eastern Europe,5.084,1.411,1.081,0.583,0.473,0.188,0.017
12/31/2022,2022,24,United Arab Emirates,Middle East and Northern Africa,6.576,1.998,0.98,0.633,0.702,0.204,0.25
12/31/2022,2022,17,United Kingdom,Western Europe,6.943,1.867,1.143,0.75,0.597,0.289,0.329
12/31/2022,2022,16,United States of America,North America,6.977,1.982,1.182,0.628,0.574,0.22,0.177
12/31/2022,2022,30,Uruguay,Latin America and Caribbean,6.474,1.615,1.18,0.672,0.665,0.103,0.265
12/31/2022,2022,53,Uzbekistan,Central and Eastern Europe,6.063,1.219,1.092,0.6,0.716,0.283,0.24
12/31/2022,2022,108,Venezuela,Latin America and Caribbean,4.925,0,0.968,0.578,0.283,0.225,0.082
12/31/2022,2022,77,Vietnam,Southeastern Asia,5.485,1.252,0.932,0.611,0.707,0.143,0.105
12/31/2022,2022,132,Yemen,Middle East and Northern Africa,4.197,0.691,1.043,0.384,0.33,0.09,0.098
12/31/2022,2022,137,Zambia,Sub-Saharan Africa,3.76,0.93,0.577,0.306,0.525,0.203,0.083
12/31/2022,2022,144,Zimbabwe,Sub-Saharan Africa,2.995,0.947,0.69,0.27,0.329,0.106,0.105
12/31/2020,2020,1,Finland,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
12/31/2020,2020,2,Denmark,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328
12/31/2020,2020,3,Switzerland,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901
12/31/2020,2020,4,Iceland,Western Europe,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772
12/31/2020,2020,5,Norway,Western Europe,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568
12/31/2020,2020,6,Netherlands,Western Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762
12/31/2020,2020,7,Sweden,Western Europe,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371
12/31/2020,2020,8,New Zealand,North America and ANZ,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276
12/31/2020,2020,9,Austria,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139
12/31/2020,2020,10,Luxembourg,Western Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469
12/31/2020,2020,11,Canada,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856
12/31/2020,2020,12,Australia,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
12/31/2020,2020,13,United Kingdom,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646
12/31/2020,2020,14,Israel,Middle East and North Africa,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845
12/31/2020,2020,15,Costa Rica,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092
12/31/2020,2020,16,Ireland,Western Europe,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262
12/31/2020,2020,17,Germany,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292
12/31/2020,2020,18,United States of America,North America and ANZ,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741
12/31/2020,2020,19,Czech Republic,Central and Eastern Europe,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223
12/31/2020,2020,20,Belgium,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052
12/31/2020,2020,21,United Arab Emirates,Middle East and North Africa,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518
12/31/2020,2020,22,Malta,Western Europe,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077
12/31/2020,2020,23,France,Western Europe,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237
12/31/2020,2020,24,Mexico,Latin America and Caribbean,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668
12/31/2020,2020,25,Taiwan Province of China,East Asia,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352
12/31/2020,2020,26,Uruguay,Latin America and Caribbean,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074
12/31/2020,2020,27,Saudi Arabia,Middle East and North Africa,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315
12/31/2020,2020,28,Spain,Western Europe,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779
12/31/2020,2020,29,Guatemala,Latin America and Caribbean,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603
12/31/2020,2020,30,Italy,Western Europe,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598
12/31/2020,2020,31,Singapore,Southeast Asia,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236
12/31/2020,2020,32,Brazil,Latin America and Caribbean,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604
12/31/2020,2020,33,Slovenia,Central and Eastern Europe,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323
12/31/2020,2020,34,El Salvador,Latin America and Caribbean,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352
12/31/2020,2020,35,Kosovo,Central and Eastern Europe,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024
12/31/2020,2020,36,Panama,Latin America and Caribbean,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526
12/31/2020,2020,37,Slovakia,Central and Eastern Europe,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441
12/31/2020,2020,38,Uzbekistan,Commonwealth of Independent States,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265
12/31/2020,2020,39,Chile,Latin America and Caribbean,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935
12/31/2020,2020,40,Bahrain,Middle East and North Africa,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257
12/31/2020,2020,41,Lithuania,Central and Eastern Europe,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274
12/31/2020,2020,42,Trinidad and Tobago,Latin America and Caribbean,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396
12/31/2020,2020,43,Poland,Central and Eastern Europe,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251
12/31/2020,2020,44,Colombia,Latin America and Caribbean,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837
12/31/2020,2020,45,Cyprus,Western Europe,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144
12/31/2020,2020,46,Nicaragua,Latin America and Caribbean,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574
12/31/2020,2020,47,Romania,Central and Eastern Europe,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569
12/31/2020,2020,48,Kuwait,Middle East and North Africa,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933
12/31/2020,2020,49,Mauritius,Sub-Saharan Africa,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229
12/31/2020,2020,50,Kazakhstan,Commonwealth of Independent States,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686
12/31/2020,2020,51,Estonia,Central and Eastern Europe,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819
12/31/2020,2020,52,Philippines,Southeast Asia,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727
12/31/2020,2020,53,Hungary,Central and Eastern Europe,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173
12/31/2020,2020,54,Thailand,Southeast Asia,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862
12/31/2020,2020,55,Argentina,Latin America and Caribbean,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059
12/31/2020,2020,56,Honduras,Latin America and Caribbean,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102
12/31/2020,2020,57,Latvia,Central and Eastern Europe,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524
12/31/2020,2020,58,Ecuador,Latin America and Caribbean,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383
12/31/2020,2020,59,Portugal,Western Europe,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466
12/31/2020,2020,60,Jamaica,Latin America and Caribbean,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785
12/31/2020,2020,61,South Korea,East Asia,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282
12/31/2020,2020,62,Japan,East Asia,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638
12/31/2020,2020,63,Peru,Latin America and Caribbean,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266
12/31/2020,2020,64,Serbia,Central and Eastern Europe,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147
12/31/2020,2020,65,Bolivia,Latin America and Caribbean,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637
12/31/2020,2020,66,Pakistan,South Asia,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121
12/31/2020,2020,67,Paraguay,Latin America and Caribbean,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379
12/31/2020,2020,68,Dominican Republic,Latin America and Caribbean,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682
12/31/2020,2020,69,BosniaandHerzegovina,Central and Eastern Europe,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487
12/31/2020,2020,70,Moldova,Commonwealth of Independent States,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744
12/31/2020,2020,71,Tajikistan,Commonwealth of Independent States,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913
12/31/2020,2020,72,Montenegro,Central and Eastern Europe,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111
12/31/2020,2020,73,Russia,Commonwealth of Independent States,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362
12/31/2020,2020,74,Kyrgyzstan,Commonwealth of Independent States,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691
12/31/2020,2020,75,Belarus,Commonwealth of Independent States,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435
12/31/2020,2020,76,North Cyprus,Western Europe,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905
12/31/2020,2020,77,Greece,Western Europe,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352
12/31/2020,2020,78,Hong Kong S.A.R. of China,East Asia,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437
12/31/2020,2020,79,Croatia,Central and Eastern Europe,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006
12/31/2020,2020,80,Libya,Middle East and North Africa,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079
12/31/2020,2020,81,Mongolia,East Asia,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126
12/31/2020,2020,82,Malaysia,Southeast Asia,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133
12/31/2020,2020,83,Vietnam,Southeast Asia,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459
